english,chinese,symbol,symbol_br,phrase,similar,unit
every,"adj.每一的,每个的,全部的,每隔...的","`ɛvrɪ,`ɛvərɪ",ˈevri,,,unit-08
everywhere,"adv.各处,到处",`ɛvrɪˌhwɛr,"ˈevriwɛə,_ihw_",,,unit-08
example,"n.例子,实例,例题,范例,榜样,鉴戒,实例",ɪg`zæmpl,iɡˈzɑ:mpl,for example,,unit-08
exellent,杰出的,,,,,unit-08
excited, 兴奋的,ɪk`saɪtɪd,ikˈsaitid,,,unit-08
excuse,"vt.原谅,申辩,做为...的托辞,为...免去n.饶恕,致歉,理由,口实,借口,清借条,免去",ɪk`skjuz,ikˈskju:z,,,unit-08
exercise,"n.练习,习题,训练,锻炼,演习v.训练,锻炼vt.行使,使担扰",`ɛksɚˌsaɪz,ˈeksəsaiz,,,unit-08
explain,"v.解释,说明",ɪk`splen,"ikˈsplein,ek_",,,unit-08
fact,"n.事实,实际,实情,真相,(犯罪)行为,论据",fækt,fækt,,,unit-08
factory,"n.工厂,制造厂,商住花园外的代理","`fæktrɪ,`fæktərɪ",ˈfæktəri,,,unit-08
fail,"vi.失败,不及格,忘记vt.使失望,舍弃,辜负,不及格n.不及格,不及格者",fel,feil,,,unit-08
fair,"adj.美丽的,女性的,(肤色)白皙的,(头发)金黄的,干净的,公平的,(天气)晴朗的adv.公平地,公正地,直接地,清楚地n.美好的事物,美人,展览会,市集vi.转晴",fer,feir,,,unit-08
fall,"n.秋天,落下,瀑布,降低,落差,采伐量,堕落,下降vi.倒下,落下,来临,失守,变成,垮台,下跌,阵亡vt.<美><英方>击倒,砍倒(树木)adj.秋天的",fɔl,fɔ:l,,,unit-08
family,"n.家庭,家族,家属,亲属,子女,僚属adj.家庭的,家族的","`fæmlɪ,`fæməlɪ",ˈfæmili,,,unit-08
famous,"adj.著名的,出名的,<口>极好的,令人满意的",`feməs,ˈfeiməs,,,unit-08
fan,"n.扇子,鼓风机,风扇,迷,狂热者,爱好者vt.煽动,刺激,扇,吹拂vi.飘动,成扇形散开",fæn,fæn,,,unit-08
far,"adj.(常用于书面语)远的,久远的,遥远的adv.(表示空间或时间上的距离)远,很远,遥远地,久远地,甚远地,很,很晚地n.远处,远方",fɑr,fɑ:,,,unit-08
fare,"n.费用,旅客,食物vi.遭遇,进展,进步,经营,过活",fɛr,fɛə,,,unit-08
farm,"n.农场,农庄,农田vt.耕种vi.种田,务农,经营农场,从事畜牧",fɑrm,fɑ:m,,,unit-08
farmer,"n.农夫,百姓,农民,农场主,承包主,牧场主,畜牧者",`fɑrmɚ,ˈfɑ:mə,,,unit-08
fashion,"n.样子,方式,流行,风尚,时样vt.形成,造,作,把...塑造成,使适应,使适合,改革,改变",`fæʃən,ˈfæʃən,,,unit-08
fast,"adj.紧的,牢的,忠实的,快速的,耐久的,紧的adv.牢固地,很快地,紧紧地,彻底地n.禁食,绝食,斋戒vi.绝食,斋戒",fæst,fɑ:st,,,unit-08
fat,"n.脂肪,肥肉;adj.肥大的,丰满的,肥的,胖的,油腻的;vt.养肥,在...中加入脂肪;vi.长肥;File Allocation Table,文件分配表",fæt,fæt,,,unit-08
favourite,"adj.特别喜爱的,中意的n.特别喜爱的(或物)","`fevrɪt,`fevərɪt",ˈfeivrit,,,unit-08
feed,"n.饲养,饲料,(动物或婴儿的)一餐vt.喂养,饲养,放牧,靠...为生vi.吃东西,流入",fid,fid,,,unit-08
feel,"vt.摸,触,试探,感觉,觉得,触摸,以为vi.有知觉,(人)有某种感觉,摸索,同情n.感觉,觉得,触摸",fil,fil,,,unit-09
festival,"n.节日,喜庆日,音乐节,戏剧节,喜庆,欢宴,欢乐adj.节日的,快乐的",`fɛstəvl,ˈfestəvl,,,unit-09
few,"adj.很少的,不多的,少数的n.[表示否定]很少数,几乎没有",,,,,unit-09
field,"n.原野,旷野,领域,(一块)田地,牧场,域,战场,运动场vt.把(谷物等)暴晒于场上,使上场vi.担任场外队员adj.田间的,野生的,野外的,田赛的 扫描场",fild,fi:ld,,,unit-09
fill,"vt.装满,注满,充满,填充,弥漫,供应,供给,满足vi.充满n.满足,饱,充分,填方v.填充",fɪl,fil,,,unit-09
film,"n.薄膜,膜层,胶卷,影片,薄雾,轻烟,电影vt.在...上覆以薄膜,拍成电影vi.生薄膜,变成朦胧,拍电影",fɪlm,film,,,unit-09
find,"vt.找到,发现,感到,查明,得到,认为,见到...的存在vi.裁决n.发现 [计] 在文件中查找指定的字符串",faɪnd,faind,,,unit-09
final,"n.结局,决赛,期末考试,<口>报纸(在一天中)最晚版adj.最后的,最终的,决定性的",`faɪnl,ˈfainl,,,unit-09
fine,"adj.美好的,优良的,杰出的,精美的,杰出的,细,纤细,纯粹n.罚款,罚金,晴天,精细vt.罚款,精炼,澄清vi.变清,变细adv.<口>很好,妙,[常用于构成复合词]细微地,精巧地",faɪn,fain,,,unit-09
finish,"n.完成,结束,磨光,末道漆,完美vt.完成,结束,用完,毁掉,使完美vi.结束,终结,停止,终止",`fɪnɪʃ,ˈfiniʃ,,,unit-09
fire,"n.火,炉火,火灾,失火,闪光,炮火,热情,激情vt.点燃,烧制,使发光,给(炉子等)加燃料,放枪,激动,<口>解雇vi.开枪,射击,着火,烧火,激动",faɪr,ˈfaiə,,,unit-09
fish,"n.鱼,鱼肉,鱼类,接合板vt.钓,钓鱼,查出,用接合板连接vi.捕鱼,钓鱼,用钩捞取,间接探听,拉摸索寻找",fɪʃ,fiʃ,,,unit-09
fisherman,"n.渔民,渔夫",`fɪʃɚmən,ˈfiʃəmən,,,unit-09
fit,"n.突然发作,适合,痉挛,一阵adj.合适的,恰当的,健康的,,准备好的vt.适合,安装,使合身,使适应,使合格vi.适合,符合",fɪt,fit,,,unit-09
fix,"vt.使固定,装置,修理,准备,安装,凝视,整理,牢记vi.固定,注视,决定,选定,确定n.困境,方位,贿赂",fɪks,fiks,,,unit-09
flag,"n.旗,标记v.标记",flæg,flæɡ,,,unit-09
floor,"n.(房间,走廊等的)地面,地板,基底,(室内的)场地,层,海底,议员席vt.在...上铺(地板),击倒,(被困难)难倒","flor,flɔr",flɔ:,,,unit-09
flour,n.面粉,flaʊr,ˈflauə,,,unit-09
flower,"n.花,开花的植物,花卉,精华,盛时vi.开花,旺盛,成熟vt.用花装饰,使开花",`flaʊɚ,ˈflauə,,,unit-09
fly,"n.苍蝇,两翼昆虫,飞行vi.飞翔,飘扬,溃逃vt.飞越,使飘扬,逃脱adj.机敏的,敏捷的",flaɪ,flai,,,unit-09
follow,"vt.跟随,追随,沿...而行,理解,遵循,从事,追求,注视vi.跟随,接着n.跟随,追随","`fɑlo,_ə",ˈfɔlou,,,unit-09
food,"n.食物,养料",,,,,unit-09
foot,"n.足,底部,英尺,音步(英诗),步调,步兵,末尾vt.走在...上,支付,给...换底,结算vi.步行,跳舞,总计",,,,,unit-09
football,"n.足球,橄榄球",`fʊtˌbɔl,ˈfutbɔ:l,,,unit-09
for," prep.(表示目的)为了,因为,至于,对于,适合于 conj.因为",,,,,unit-09
foreign,"adj.外国的,外交的,外国产的,外来的,[医]异质的,不相关的",`fɔrɪn,ˈfɔrin,,,unit-09
forest,"n.森林,林木,<英>御猎场adj.森林的,住在森林中的vt.植树于",`fɔrɪst,ˈfɔrist,,,unit-09
forget,"vt.忘记,忽略vi.忘记,忘形,忘乎所以",fɚ`gɛt,fəˈɡet,,,unit-09
forward,"adj.早的,迅速的,前进的vt.转寄,促进,运送adv.向前地,向将来n.[体](足球等)前锋",`fɔrwɚd,ˈfɔ:wəd,,,unit-09
free,"adj.自由的,大方的,免费的,免税的,丰富的,空闲的vt.释放,使自由adv.自由地,免费",fri,fri:,,,unit-09
fresh,"adj.新鲜的,无经验的,生的,冒失的,鲜艳的adv.最新地,刚刚n.开始,泛滥",frɛʃ,freʃ,,,unit-09
fridge,n.电冰箱,frɪdʒ,fridʒ,,,unit-09
friend,"n.朋友,赞助者,助手",frɛnd,frend,,,unit-09
friendly,"adj.友好的,友谊的",`frɛndlɪ,ˈfrendli,,,unit-09
from," prep.从,今后,来自,由于",,,,,unit-09
front,"n.前面,开头,前线,(政治上的)阵线,态度,外表vt.面对,朝向,对付vi.朝向",,,,,unit-09
fruit,"n.水果,果实,果类,成果vi.结果实",,,,,unit-10
full,"n.全部,完整adj.充满的,完全的,丰富的,完美的,详尽的,丰满的adv.完全地,整整,十分vt.把衣服缝得宽大",,,,,unit-10
fun,"n.娱乐,玩笑,嬉笑,有趣的人或事物vi.开玩笑adj.供娱乐用的",,,,,unit-10
funny,"adj.有趣的,好笑的,滑稽的,奇异的,古怪的n.滑稽人物",`fʌnɪ,ˈfʌni,,,unit-10
future,"n.未来,将来,前途,远景adj.未来的,将来的",`fjutʃɚ,ˈfju:tʃə,,,unit-10
game,"n.比赛,游戏,竞赛,[复]运动会,玩耍,比分,比赛规则,策略vi.赌博adj.勇敢的,有胆量的,关于野味的,跛的",gem,ɡeim,,,unit-10
garden,"n.(菜、花)园,花园",`gɑrdn,ˈɡɑ:dn,,,unit-10
gas,,,,,,unit-10
gate,n.大门,get,ɡeit,,,unit-10
gentleman,"n.阁下,先生,有身分的人,绅士,[pl.] 男厕所,男盥洗室",`dʒɛntlmən,ˈdʒentlmən,,,unit-10
get,"vt.获得,变成,收获,使得,挣得,受到(惩罚,打击等),染上,抓住vi.到达,成为,变得n.生殖,幼兽",gɛt,ɡet,,,unit-10
gift,"n.赠品,礼物,天赋,才能",gɪft,ɡift,,,unit-10
give,"n.弹性,可弯性vt.给,授予,供给,献出,让步,引起,发表,捐助vi.捐赠,让步",gɪv,ɡiv,,,unit-10
glad,"adj.高兴的,乐意的,感到高兴的",glæd,ɡlæd,,,unit-10
glass,"n.玻璃,玻璃制品,玻璃杯,镜子,眼镜,望远镜,气压计,晴雨表vt.装玻璃于,反映vi.成玻璃状",glæs,ɡlɑ:s,,,unit-10
glow,"vi.发光,发热",,,,,unit-10
glue,"n.胶,胶水vt.胶合,粘贴,粘合",,,,,unit-10
go,"vi.离去,走,进行,变成,趋于,达到,求助于,诉诸vt.以...打赌,忍受,出产n.去,进行",,,,,unit-10
goal,"n.目的,目标,守门员,球门,(球赛等的)得分",,,,,unit-10
gold,"n.黄金,金币adj.金的,金制的",,,,,unit-10
golf,n.高尔夫球vi.打高尔夫球,"gɑlf,gɔlf",ɡɔlf,,,unit-10
good,"n.好,好事,慷慨的行为,好处,利益adj.优良的,上等的,虔诚的,愉快的,慈善的,好心的,有益的",,,,,unit-10
grade,"n.等级,级别vt.评分,评级v.分等级",gred,ɡreid,,,unit-10
grass,n.草,græs,ɡrɑ:s,,,unit-10
great,"adj.伟大的,大的,强烈的,非常的,主要的,大写的,重大的,崇高的adv.顺利地,得意地n.全部,大人物,大师",gret,ɡreit,,,unit-10
greet,"vt.问候,向...致意,获悉(消息),映入眼帘",grit,ɡri:t,,,unit-10
ground,"n.地面,土地,战场,场所,范围adj.土地的,地面上的vt.把...放在地上,使搁浅,打基础vi.具有基础,着陆,搁浅 vbl.grind的过去式",,,,,unit-10
group,"n.团体,组,团,群,批,[地]界,[化]基v.聚合,成群",,,,,unit-10
grow,"vi.生长,成长,渐渐变得,增长,增高vt.种植,栽培,培育",,,,,unit-10
guess,"vt.猜测,推测,猜中,猜对,想,认为vi.猜,推测n.猜测,推测",gɛs,ɡes,,,unit-10
guest,"n.客人,来宾,旅客vt.招待,款待vi.作客,寄宿",gɛst,ɡest,,,unit-10
guide,"n.领路人,导游者,向导,引导者,指南vt.指导,支配,管理,带领,操纵vi.任向导",gaɪd,ɡaid,,,unit-10
guy,"n.家伙,人 Guy 盖伊(男子名)",gaɪ,ɡai,,,unit-10
gym," gymnasium 体育;n.体育馆,体操",dʒɪm,dʒim,,,unit-10
habit,"n.习惯,习性",`hæbɪt,ˈhæbit,,,unit-10
hair,"n.头发,毛发,毛状物,绒毛,些微",hɛr,hɛə,,,unit-11
half,"n.一半,半时,(球赛)半场,半学年adj.一半的,不完全的,半途的adv.一半地,部分地,相当的",hæf,hɑ:f,,,unit-11
hall,"n.会堂,礼堂,大厅,走廊,门厅",hɔl,hɔ:l,,,unit-11
hand,"n.手,掌管,协助,支配,插手,指针,雇员,手艺vt.支持,搀扶,交给",hænd,hænd,,,unit-11
handsome,"adj.英俊的,大方的,慷慨的,美观的,堂皇的",`hænsəm,ˈhænsəm,,,unit-11
hang,"n.悬挂的方式,(动作的)暂停,中止vt.悬挂,附着,装饰,绞死,踌躇,使悬而未决,垂下vi.悬着,垂下,被绞死,悬而不决",hæŋ,hæŋ,,,unit-11
happen,"vi.发生,碰巧,偶然v.发生,恰巧,偶然发现",`hæpən,ˈhæpən,,,unit-11
happy,"adj.快乐的,幸福的,陶醉于...的,恰当的",`hæpɪ,ˈhæpi,,,unit-11
hard,"adj.硬的,坚固的,(问题,工作等)困难的,艰苦的,猛烈的,确实的adv.努力地,辛苦地,坚硬地,牢固地,接近地,猛烈地",hɑrd,hɑ:d,,,unit-11
hardworking,"adj.苦干的,不辞辛劳的",,,,,unit-11
harm,"vt.伤害,损害n.伤害,损害",hɑrm,hɑ:m,,,unit-11
hate,"vt.憎恨,恨,不愿,不喜欢n.憎恶,憎恨v.憎恨,讨厌,不愿",het,heit,,,unit-11
have,"vt.有,持有,拿,从事(某事) aux.已经",hæv,hæv,,,unit-11
head,"n.头,头脑,领袖,(队伍,名单等)最前的部分,人,顶点vt.作为...的首领,朝向,前进,用头顶vi.成头状物,出发adj.头的,主要的",hɛd,hed,,,unit-11
healthy,"adj.健康的,健壮的,有益于健康的",`hɛlθɪ,ˈhelθi,,,unit-11
hear,"vt.听到,听说,听取,审理,允许vi.听见,听到",hɪr,hiə,,,unit-11
heart,"n.心,心脏,中心,心地,心情,精神,宝贝儿,感情vt.把...放在中心",hɑrt,hɑ:t,,,unit-11
heat,,,,,,unit-11
heavy,"adj.重的,繁重的,巨大的,沉重的,阴沉的adv.沉重地,笨重地,大量地n.重物,严肃角色",`hɛvɪ,ˈhevi,,,unit-11
help,"n.帮忙,补救办法,助手,治疗,<美>佣工vt.帮助,助长,接济,治疗,款待vi.有用,救命,招待 [计] 显示命令格式的简短概述",hɛlp,help,,,unit-11
helpful,"adj.有帮助的,有用的,有益的",`hɛlpfəl,ˈhelpful,,,unit-11
here,"adv.在这里,此时,这时,[宗]在尘世间n.这里",hɪr,hiə,,,unit-11
hero,"n.英雄,男主角,男主人公","`hɪro,`hiro",ˈhiərou,,,unit-11
hide,"n.兽皮,皮革v.剥...的皮,痛打,隐藏,掩藏,隐瞒,掩饰",haɪd,haid,,,unit-11
high,"n.高度,高处adj.高的,高原的,高等的,高音的,傲慢的,高尚的,昂贵的,严重的adv.高度地,奢侈地,高价地",haɪ,hai,,,unit-11
hike,"v.远足,飞起,步行n.远足,增加",haɪk,haik,,,unit-11
hill,"n.小山,丘陵,斜坡,山岗",hɪl,hil,,,unit-11
history,"n.历史,历史学,过去的事(的记载),来历,历史记录","`hɪstrɪ,`hɪstərɪ",ˈhistri,,,unit-11
hit,"n.打击,打,碰撞,讽刺,(演出等)成功vt.打,打击,碰撞,击中,袭击,偶然发现,伤...的感情,找到vi.打,打中,打击,碰撞,偶然碰上",hɪt,hit,,,unit-11
hobby,n.业余爱好,`hɑbɪ,ˈhɔbi,,,unit-11
hold,"n.把握,把持力,柄,控制,监禁,掌握,货舱vt.拿着,保存,支持,占据,持有,拥有vi.支持,保持,有效n.控制,保留",,,,,unit-11
hole,"n.洞,孔,突破口v.凿洞",,,,,unit-11
holiday,"n.假日,节日,假期",`hɑləˌde,"ˈhɔlədi,_dei",,,unit-11
home,"n.家,住宅,家乡,本国,产地,避难所adj.家庭的,国内的,有效的adv.在家,回家,深入地,在本国",,,,,unit-11
homework,"n.家庭作业,副业",`homˌwʒk,ˈhoumwə:k,,,unit-11
honest,"adj.诚实的,正直的",`ɑnɪst,ˈɔnist,,,unit-11
hope,"n.希望,信心v.希望,盼望,期待,信赖",,,,,unit-12
horn,"n.(牛、羊等的)角,喇叭,触角v.装角",hɔrn,hɔ:n,,,unit-12
hospital,n.医院,`hɑspɪtl,ˈhɔspitl,,,unit-12
hotel,"n.旅馆,客栈,<俚>监狱",ho`tɛl,houˈtel,,,unit-12
hour,"n.小时,钟头,...点钟,课时,(一段)时间",aʊr,ˈauə,,,unit-12
house,"n.房子,住宅,库房,机构,家庭,家族,议院,剧场vt.给...房子住,收藏,覆盖vi.住,躲藏(up)",,,,,unit-12
housewife,"n.主妇,家庭主妇,针线盒",,,,,unit-12
housework,"n.家务,劳动,家务事",,,,,unit-12
hug,,,,,,unit-12
huge,"adj.巨大的,极大的,无限的",,,,,unit-12
hungry,"adj.饥饿的,渴望的,荒年的,不毛的",`hʌŋgrɪ,ˈhʌŋɡri,,,unit-12
hunt,"v.打猎,猎取,搜索,搜寻,猎获n.打猎,猎取,搜索,搜寻,狩猎",,,,,unit-12
hurry,"v.(使)赶紧,(使)匆忙,加速n.匆忙,仓促",`hʒɪ,ˈhʌri,,,unit-12
hurt,"v.刺痛,伤害,(使)痛心,(使)伤感情,危害,损害,受伤n.伤痛,伤害",hʒt,hə:t,,,unit-12
ice,"n.冰冻食品vt.冰冻,覆以冰vi.结冰 [军] Intenal Combustion Engine,内燃机",aɪs,ais,,,unit-12
ice-cream,,,,,,unit-12
idea,"n.想法,念头,意见,主意,思想,观念,概念","aɪ`diə,aɪ`dɪə",aiˈdiə,,,unit-12
if," conj.(表条件)如果,(表假设)要是,是否,即使n.条件,设想",ɪf,if,,,unit-12
ill,"adj.有病的,坏的,恶意的,生病",ɪl,il,,,unit-12
important,"adj.重要的,重大的,有权力的,有地位的",ɪm`pɔrtnt,imˈpɔ:tnt,,,unit-12
in," prep.在...之内(上),在...期间,从事于,符合,穿着;adv.进入,朝里,在家,已到达(来临);adj.在里面的,执政的;n.执政者,入口;India,印度;In,元素铟(indium);Intelligent Network,智能网络",ɪn,in,,,unit-12
insect,"n.昆虫,卑鄙的人adj..虫的,虫子一样的,对付虫子的",`ɪnsɛkt,ˈinsekt,,,unit-12
inside,"n.里面,内部,内脏,内情adj.内部的,秘密的,于室内工作的adv.在里面 prep.在...之内",`ɪn`saɪd,"ˌinˈsaid,ˈinsaid",,,unit-12
interesting,"adj.有趣味的,引起好奇(或注意)的","`ɪntərɪstɪŋ,`ɪntrɪstɪŋ",ˈintrəstiŋ,,,unit-12
internet," 因特网,国际互联网络,网际网",,,,,unit-12
into," prep.到...里,进入到...之内,成为...状况,深入...之中",,,,,unit-12
introduce,"vt.介绍,传入,引进,提出","ˌɪntrə`dus,_`djus",ˌintrəˈdju:s,,,unit-12
invent,"vt.发明,创造v.发明",ɪn`vɛnt,inˈvent,,,unit-12
invention,"n.发明,创造",ɪn`vɛnʃən,inˈvenʃn,,,unit-12
inventor,n.发明家,ɪn`vɛntɚ,inˈventə,,,unit-12
invite,"vt.邀请,引起n.邀请",ɪn`vaɪt,inˈvait,,,unit-12
island,"n.岛,岛屿,岛状物(孤立状态的物),安全岛vt.使成岛状,孤立",`aɪlənd,ˈailənd,,,unit-12
job,"n.工作,零活,<口>职位,事情,<圣经>约伯,极有耐心的人vi.做零工,打杂,做股票经纪,假公济私vt.代客买卖(股票,货物等),批发,承包,欺骗",dʒɑb,dʒɔb,,,unit-12
jog,"n.轻推,轻撞,漫步v.轻推,(使)蹒跚行进,(使)慢跑",dʒɑg,dʒɔɡ,,,unit-12
join,"vi.参加,结合,加入vt.连接,结合,参加,加入n.连接,结合,接合点 [计] 用子目录名取代驱动器符",dʒɔɪn,dʒɔin,,,unit-13
joke,"n.笑话,玩笑v.(和...)开玩笑",,,,,unit-13
joy,"n.欢乐,喜悦,快乐,乐事,乐趣v.高兴 Joy 乔伊(女子名)",dʒɔɪ,dʒɔi,,,unit-13
jump,"n.跳跃,上涨,惊跳vt.跳跃,跃过,突升,使跳跃vi.跳跃,暴涨",,,,,unit-13
just,"adj.正义的,公正的,正确的,应得的,有充分根据的adv.正好,仅仅,刚才,只是,不过",,,,,unit-13
keep,"n.保持,保养,生计,监狱,[史]要塞vt.保持,保存,遵守,经营,看守,拘留,维持,记(日记,帐等)vi.保持,继续不断",kip,ki:p,,,unit-13
key,"n.钥匙,关键,解答,(打字机等的)键,调子,对译本,(开钟表、发条的)栓,要害vt.调节...的音调,锁上,插上栓,提供线索vi.使用钥匙n.[乐]键,调,基调",ki,ki:,,,unit-13
kick,v.踢n.踢,kɪk,kik,,,unit-13
kid,"n.哄骗,取笑,开玩笑,小孩,小山羊v.哄骗,取笑,开玩笑,欺骗",kɪd,kid,,,unit-13
kill,"v.杀死,毁掉,杀伤",kɪl,kil,,,unit-13
kind,"n.种类,性质adj.仁慈的,和蔼的,亲切的,友爱的",kaɪnd,kaind,,,unit-13
king,"n.国王,君主,(部落的)首领,纸牌中的Kvt.立...为王vi.做国王,统治",,,,,unit-13
kiss,"n.吻,(风,浪等)拂vt.吻,轻拂vi.接吻",kɪs,kis,,,unit-13
kitchen,"n.厨房,炊具,炊事人员","`kɪtʃɪn,_ən",ˈkitʃin,,,unit-13
kite,"n.风筝,(微风时使用的)高而轻的帆,<俚>[商]空头支票,试探性行动vi.象风筝一样飞,轻快地移动,使用空头支票vt.使上升,骗钱",kaɪt,kait,,,unit-13
knock,"v.敲,敲打,敲击,(使)碰撞n.敲,击,敲打",nɑk,nɔk,,,unit-13
know,"v.知道,了解,认识,熟悉,认出,分辨,确信",,,,,unit-13
knowledge,"n.知识,学问,认识,知道,<古>学科",`nɑlɪdʒ,ˈnɔlidʒ,,,unit-13
lady,"n.女士,夫人,小姐",`ledɪ,ˈleidi,,,unit-13
lake,,,,,,unit-13
land,"n.陆地,(书面语)国家、国土,地带,[复数]地产,田产vi.靠岸,登陆,登岸,到达vt.使上岸,使登陆,使到达,使处于",lænd,lænd,,,unit-13
language,"n.语言,语言文学,术语,语言表达能力,(运用语言的)方式、能力、风格,[自](机器)代码 /n.语言/国家",`læŋgwɪdʒ,ˈlæŋɡwidʒ,,,unit-13
large,"adj.大的,巨大的,宽大的,夸大的adv.大大地,夸大地,顺风地n.大",lɑrdʒ,lɑ:dʒ,,,unit-13
last,"adj.最后的,临终的,末尾的,最近的,结论性的vi.持续,支持,维持vt.使维持,楦adv.最后,后来n.最后,末尾,临终,鞋楦头",læst,lɑ:st,,,unit-13
late,"adj.迟的,晚(期)的,已故的,新近的adv.晚,迟,最近,在晚期",let,leit,,,unit-13
laugh,"vi.笑,讥笑n.笑,笑声",læf,lɑ:f,,,unit-13
lazy,"adj.懒惰的,懒散的",`lezɪ,ˈleizi,,,unit-13
leader,"n.领导者,社论n.[计]前导字符n.[机]导杆",`lidɚ,ˈli:də,,,unit-13
leaf,"n.叶,树叶,(书的)一张(两叶),页vi.生叶,翻书页vt.翻...的页",lif,li:f,,,unit-13
learn,"vi.学习,听到,获悉vt.学习,学会,认识到",lʒn,lə:n,,,unit-13
leave,"n.许可,同意,请假,休假vt.离开,动身,剩下,遗忘,委托,遗弃vi.出发,离开,生叶,动身",liv,li:v,,,unit-13
lesson,"n.功课,(一节)课,[pl.] 课程,教训",`lɛsn,ˈlesn,,,unit-13
let,"vt.假设,出租,允许,排放,让...进入(或通过),妨碍vi.出租,(工程等)被承包n.出租屋,障碍",lɛt,let,,,unit-13
letter,"n.文字,字母,信函,字面意义,铅字,(pl.)证书,(pl.)文学,学问vt.用字母标明,在...上刻(或题)字vi.写印刷体字母",`lɛtɚ,ˈletə,,,unit-13
library,"n.图书馆,藏书室,库",`laɪˌbrɛrɪ,ˈlaibrəri,,,unit-13
lie,"vi.躺,平放,展现,展开,位于v.说谎,躺n.谎话,谎言",laɪ,lai,,,unit-13
life,"n.生命,生活,一生,寿命,生命力,传记",laɪf,laif,,,unit-14
lift,"n.举起,电梯,起重机,搭车vt.升高,提高,举起,空运vi.升起,(指雾等)消散,耸立",lɪft,lift,,,unit-14
light,"n.光,日光,发光体,灯adj.轻的,发光的,明亮的,浅的vt.点燃,照亮adv.轻地vi.点着,变亮",laɪt,lait,,,unit-14
like,"n.爱好,同样的人(或物)adj.相似的,同样的vt.喜欢,希望,愿意vi.喜欢,希望 prep.象,如同adv.可能",laɪk,laik,,,unit-14
line,"n.绳,索,线路,航线,诗句vt.排成一行,顺...排列,划线于,使有线条,使起皱纹vi.排队",laɪn,lain,,,unit-14
lion,"n.狮子,(剽悍的人)社交场合的名流",`laɪən,ˈlaiən,,,unit-14
list,"n.目录,名单,列表,序列,数据清单,明细表,条纹,[总称]各种上市证券vt.列出,列于表上,记入名单内,装布条vi.列于表上",lɪst,list,,,unit-14
listen,"vi.听,听从v.听,收听",`lɪsn,ˈlisn,,,unit-14
litter,"n.垃圾,(供动物睡眠或防冻用的)干草、树叶,(一)窝,轿,担架vt.乱丢,铺草,弄乱vi.产仔,乱丢垃圾",`lɪtɚ,ˈlitə,,,unit-14
little,"n.少许,一会儿,短时间adj.很少的,矮小的,短暂的,琐碎的adv.很少,稍微,完全不",`lɪtl,ˈlitl,,,unit-14
live,"adj.活的,生动的,精力充沛的,实况转播的,点燃的vi.活着,生活,居住,流在人们记忆中vt.过着,度过,经历adv.以实况地",lɪv,liv,,,unit-14
lock,"n.锁v.锁,锁上,锁住 /n.锁定/解锁",lɑk,lɔk,,,unit-14
long,"adj.长的,长期的,做多头的,高的vi.渴望,热望adv.长期地,始终n.长时间,(市场上)做多头的人,[语音]长音节",lɔŋ,lɔŋ,,,unit-14
look,"n.看,注视,脸色,面容,外表vi.看,注意,朝着,好象,显得vt.打量,注视,用眼神(或脸色)表示,期待",,,,,unit-14
lose,"vt.遗失,浪费,错过,输去,使失去,使迷路,使沉溺于vi.受损失,失败",,,,,unit-14
lot,"n.签,抽签,一堆,许多,命运,一块地,份额vt.划分vi.抽签,抓阄",lɑt,lɔt,,,unit-14
loud,"adj.高声的,不断的,喧吵的adv.高声地,大声地",,,,,unit-14
love,"n.爱,热爱,爱情,爱好,性爱,情人,零vt.爱,热爱,爱好,爱慕vi.爱",,,,,unit-14
lovely,"adj.可爱的,有趣的",`lʌvlɪ,ˈlʌvli,,,unit-14
low,"n.低,低价,牛叫声adj.低的,浅的,消沉的,微弱的,粗俗的,卑贱的,体质弱的adv.低下地,谦卑地,低声地,低价地vi.牛叫",,,,,unit-14
luck,"n.运气,好运,幸运",,,,,unit-14
lucky,"adj.幸运的,吉祥的,侥幸的",`lʌkɪ,ˈlʌki,,,unit-14
machine,"n.机器,机械,机动车辆,机构,设计,机械般工作的人,(政党的)领导集团,核心组织vt.机器制造,用车床加工",mə`ʃin,məˈʃi:n,,,unit-14
mad,"adj.疯狂的,愚蠢的,狂欢的,非常激动的,狂热的,着迷的n.狂怒",mæd,mæd,,,unit-14
magazine,"n.杂志,期刊,军火库,弹药库,(枪、炮的)弹仓,胶卷盒","`mægəˌzin,ˌmægə`zin",ˌmæɡəˈzi:n,,,unit-14
magic,"n.魔法,巫术,戏法adj.魔术的,有魔力的,不可思议的",`mædʒɪk,ˈmædʒik,,,unit-14
mail,"n.邮件,邮政,盔甲vt.邮寄,给...穿盔甲",mel,meil,,,unit-14
make,"vt.制造,安排,使成为,认为,产生,获得,进行,构成vi.开始,前进,增大,被制造,被处理n.制造,构造,性情",mek,meik,,,unit-14
mall,"n.购物商场,商业街,林荫路",mɔl,mɔ:l,,,unit-14
man,"n.男人,人类,人,丈夫,雇工;vt.为...配备人手,操纵,在...就位,使振奋;Metropolitan Area Network 城域网",mæn,mæn,,,unit-14
manager,"n.经理,管理人员,管理器",`mænɪdʒɚ,ˈmænidʒə,,,unit-14
many,"n.多数,群众adj.许多的 pron.许多人,许多",`mɛnɪ,ˈmeni,,,unit-14
